                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                  1.046,                0.49445,                 1.4487,                0.98116,                0.95263,                0.98048,                0.69278,                 1.1271,                0.39649,                 1.5773,                0.00769,                0.00769,                0.00769
                     72,                 1.0416,                0.49323,                 1.4485,                0.98069,                0.95301,                 0.9804,                0.69287,                 1.1261,                0.39648,                 1.5765,               0.007657,               0.007657,               0.007657
                     73,                  1.031,                0.48882,                 1.4338,                0.98024,                0.95379,                0.98068,                0.69324,                 1.1253,                0.39572,                 1.5757,               0.007624,               0.007624,               0.007624
                     74,                  1.044,                0.49211,                 1.4438,                0.97913,                0.95356,                0.98035,                0.69389,                 1.1246,                0.39499,                 1.5749,               0.007591,               0.007591,               0.007591
                     75,                   1.04,                0.49106,                 1.4422,                0.98048,                0.95403,                0.98067,                0.69305,                  1.124,                0.39438,                 1.5744,               0.007558,               0.007558,               0.007558
                     76,                 1.0391,                0.48773,                 1.4449,                0.98036,                0.95403,                 0.9806,                0.69354,                 1.1237,                 0.3942,                  1.574,               0.007525,               0.007525,               0.007525
                     77,                 1.0399,                0.49215,                 1.4475,                0.97977,                0.95427,                0.98058,                0.69393,                 1.1233,                0.39406,                 1.5737,               0.007492,               0.007492,               0.007492
                     78,                 1.0328,                0.49213,                  1.437,                0.97954,                0.95403,                0.98095,                0.69422,                 1.1229,                0.39469,                 1.5734,               0.007459,               0.007459,               0.007459
                     79,                 1.0324,                0.48723,                 1.4339,                 0.9793,                0.95403,                0.98116,                0.69545,                 1.1218,                0.39367,                 1.5725,               0.007426,               0.007426,               0.007426
                     80,                 1.0324,                 0.4878,                 1.4327,                0.97884,                0.95458,                0.98127,                0.69611,                 1.1207,                0.39319,                 1.5715,               0.007393,               0.007393,               0.007393
                     81,                 1.0283,                0.48702,                 1.4351,                0.97931,                0.95474,                 0.9813,                0.69534,                 1.1197,                0.39251,                 1.5707,                0.00736,                0.00736,                0.00736
                     82,                 1.0313,                 0.4863,                 1.4354,                0.97931,                0.95482,                0.98126,                0.69761,                 1.1193,                0.39229,                   1.57,               0.007327,               0.007327,               0.007327
                     83,                 1.0278,                0.48214,                 1.4281,                0.97966,                 0.9545,                0.98126,                0.69809,                 1.1191,                0.39173,                 1.5698,               0.007294,               0.007294,               0.007294
                     84,                 1.0303,                0.48525,                 1.4403,                0.98026,                0.95487,                0.98124,                0.69883,                 1.1184,                0.39172,                 1.5695,               0.007261,               0.007261,               0.007261
                     85,                 1.0291,                 0.4803,                 1.4313,                0.97594,                0.95732,                0.98107,                0.69861,                 1.1178,                0.39103,                 1.5688,               0.007228,               0.007228,               0.007228
